customer_unique_id,frequency,monetary,recency
2607e,1,159.0,336
dedce,1,179.0,233
7ddd1,1,94.99,41
1ef0e,1,740.0,465
8f0f9,1,89.0,336
ade27,1,1287.0,357
8425b,1,53.0,286
0c511,1,205.0,392
23ef8,1,175.9,565
5cefd,1,369.9,398
ceb71,1,82.76,107
1174e,1,839.4000000000001,29
e2977,1,30.0,7
d0bc7,1,74.9,423
64c47,1,311.9,50
7b611,1,289.9,503
50b4f,1,18.9,402
3e1f7,1,479.0,68
43f2f,1,149.0,451
1e54a,2,142.0,219
2320c,1,129.0,165
e023b,1,16.5,461
d9416,1,24.9,311
93b74,1,64.0,82
5cca5,1,399.0,90
d2e30,1,40.0,7
ce248,1,49.0,163
6fe34,1,118.99,276
63b0d,1,42.99,517
033cf,1,269.0,280
6603d,1,69.9,279
e31eb,1,78.0,153
226f0,1,53.04,146
282f3,1,60.9,63
5ef49,1,79.9,66
df7dc,1,24.99,239
cfe54,1,127.0,278
da6ab,1,30.99,198
54285,1,64.9,557
fc0ba,1,98.9,233
670e2,1,219.0,216
31850,1,274.9,2
4a838,1,59.0,23
bc5f1,1,799.99,321
5c7b4,1,129.0,232
e8b92,1,106.9,385
8ec0f,1,79.8,104
1e388,1,39.9,326
d0671,1,103.97,469
d56f3,1,98.9,308
85423,1,92.66,189
e34f9,1,239.96999999999997,149
d2231,1,12.0,78
c4ef6,1,199.99,14
4ee70,1,39.0,468
b055a,1,119.0,79
d034f,1,39.9,315
80068,1,129.0,176
b5d30,1,89.9,373
ab314,1,59.8,25
82747,1,89.9,414
2f80e,1,105.0,111
d4c80,1,89.9,205
b680c,1,16.99,267
0ada4,2,139.98000000000002,246
981cc,1,19.99,134
f3cc5,1,109.9,293
d24c4,1,74.99,20
89ec9,1,14.9,69
4acb7,1,99.99,48
30f5a,1,110.9,190
d16a2,1,24.9,109
b7f8c,1,79.9,260
18cc8,1,145.0,114
fabcb,1,674.9,161
93fce,1,7.5,314
41cea,1,69.9,127
4ae38,1,45.99,162
19be6,1,28.9,81
2acd6,1,101.0,468
035e9,1,139.9,283
44aa4,1,89.99,288
7a671,1,29.9,503
30abe,1,89.99,308
735b2,1,79.9,44
2a118,1,52.5,207
0f60f,1,119.9,170
47919,1,155.8,65
5c223,1,119.35,387
13cd1,1,97.9,226
e12d1,1,139.98,29
c4693,1,30.0,276
f5b34,1,65.0,29
e0837,1,36.9,116
c592c,1,74.0,12
c24f1,1,22.99,339
2f88d,1,105.0,117
a3a69,1,215.0,188
017c9,1,69.9,550
334f8,1,359.0,269
8b9ce,1,790.0,82
d0411,1,23.8,232
7ad0a,1,19.9,210
12309,1,28.28,464
01947,1,189.89,497
10b20,1,44.9,201
45556,1,109.9,141
98123,1,104.0,180
bb20b,1,68.0,546
6f132,1,49.9,383
89253,1,659.99,15
0e878,1,105.0,345
4b32b,1,44.9,414
65536,1,188.0,176
6f8a0,1,219.9,329
24af1,1,739.98,688
8039e,1,28.0,67
42696,1,157.77,331
926b4,1,246.62,275
11769,2,428.0,90
015a0,1,99.0,341
fb9e0,1,28.49,188
5f7c4,1,79.9,139
b246c,1,13.65,263
22f89,1,240.35,462
b6ccf,1,69.99,41
9c62c,1,24.5,278
2bb9d,1,99.8,35
8839f,1,129.2,272
8a259,1,44.99,161
beb33,1,112.33,161
02d63,1,73.5,230
6c408,1,231.7,278
75eea,1,224.5,216
43b8e,1,410.0,113
2b2dc,1,62.9,447
962ff,1,37.9,21
ef222,1,69.0,128
b0783,1,77.9,125
85497,1,30.9,71
0af2a,1,169.8,464
b8c0e,1,78.0,27
59829,1,49.9,439
21026,1,572.64,38
aa6c9,1,41.8,511
2c26d,1,89.99,385
3602b,1,65.0,353
3bfa6,1,799.9,15
41e86,1,59.8,121
bc985,1,106.0,138
f8b4c,1,150.82,72
364d6,1,117.99,343
8173b,1,116.99,165
314f3,1,100.8,231
5853f,1,559.0,254
367e6,1,159.98,181
9d26a,1,99.9,534
ba5db,2,199.6,324
667f9,1,25.9,212
11665,1,14.2,140
92cf2,1,15.33,414
4ea7e,1,46.2,475
e4e03,1,728.0,100
75a1c,1,49.99,169
fbbd1,1,39.99,185
b6f68,1,99.89,320
8c535,1,79.9,107
d37c0,1,139.9,426
2d7d7,1,113.0,447
5fb90,1,19.8,107
9861a,1,59.99,352
9b2dd,1,97.65,175
f8c80,1,54.9,27
5c7cd,1,127.0,239
1bd91,1,21.9,228
c0522,1,129.99,583
a563f,1,79.0,89
813c8,1,150.0,28
0b61a,1,64.99,8
cdc31,1,34.9,513
84c97,1,1099.0,404
0d22f,1,32.9,100
d6155,1,45.99,168
e6d03,1,131.0,123
00a7d,1,70.0,211
3c500,1,67.99,77
82b94,1,610.0,360
3526f,1,99.0,85
d539a,1,120.0,282
5722c,1,229.99,66
4a05b,1,89.99,184
a55cb,1,115.0,316
f605e,1,94.8,404
d416f,1,89.99,256
d0edf,1,59.98,119
634d1,1,19.9,195
bc546,1,87.8,29
77edc,1,199.89,119
1f906,1,55.9,196
bd40c,1,49.99,118
bfaf4,1,72.9,65
ad6fa,1,27.5,76
99071,1,18.6,145
8622d,1,49.99,323
c6c80,1,16.0,353
3eb61,1,129.9,154
04a3e,1,13.3,285
57a8c,1,37.8,310
7a713,1,55.0,118
7b285,1,34.9,170
df233,1,119.8,234
d88d7,1,99.9,125
b1a05,1,24.0,18
05c03,2,132.31,36
7b0f9,1,49.0,278
cd742,1,128.9,411
19ae3,1,99.9,233
d39d9,1,169.9,499
86108,1,55.9,143
48ecb,1,12.97,502
d41e7,1,38.9,16
e5ee9,1,54.7,120
9c9ff,1,65.0,46
11acd,1,12.95,149
f0da4,1,107.78999999999999,327
c7069,1,49.8,432
a4a2f,1,119.9,213
37967,1,25.9,279
df203,1,116.0,222
19017,1,32.9,557
8f9fd,1,130.0,137
8aa55,1,289.8,352
ad2e2,1,103.9,104
23142,1,90.0,99
1784d,1,38.0,135
93af9,1,119.8,481
ec02b,1,35.9,118
3c1b4,1,51.89,34
8f283,1,80.0,375
fe86c,1,18.0,378
15446,1,139.9,395
725bf,1,231.7,275
bafca,1,55.9,447
8ae73,1,220.0,508
79aeb,1,29.9,219
e5d8c,1,99.0,30
1076e,1,79.9,270
a22fc,1,399.0,274
4f808,1,159.9,329
4b85a,1,39.99,379
f1307,1,29.9,374
77e73,1,139.8,220
1485d,1,19.95,434
602d2,1,1788.0,12
bb6fa,1,98.9,330
6712d,1,114.9,11
115a7,1,119.9,278
14965,1,59.99,447
86144,1,13.65,128
7c9a5,1,205.0,392
c48e0,1,21.6,223
155cc,1,139.94,285
03d80,1,29.9,114
6ad3c,1,179.99,248
14f0d,1,440.99,131
fa693,1,149.0,389
54470,1,149.0,264
1eb62,1,49.9,411
bfaa6,1,59.0,253
d4a79,1,106.24,280
0dfc3,1,24.9,456
fe5d3,1,736.0,57
b2bc7,1,55.9,317
aafda,1,104.99,541
4381f,1,59.9,292
13398,1,119.85,16
14f4f,1,138.89,154
9f2b6,1,25.0,132
e35e6,1,81.35,15
92f42,1,140.5,192
7d2a4,1,54.9,148
09015,1,329.0,137
4b6eb,1,139.99,252
fabee,2,64.99,316
e308f,1,19.9,198
4311f,1,99.99,323
c4d6f,1,89.0,188
de007,1,585.0,34
8575c,1,74.9,184
9b761,1,25.98,285
7bf99,1,49.99,221
bfebc,1,31.9,39
0ffef,1,18.99,491
80bb2,1,98.7,399
819e0,1,212.4,334
681fb,1,162.5,201
9cee8,1,299.0,405
51a02,1,160.0,13
700cb,1,132.9,408
da928,1,78.0,318
18531,1,20.9,133
f9f1b,1,49.99,176
66649,1,109.9,514
188a1,1,29.0,374
c0dce,1,159.8,273
03fb6,1,39.78,62
8ad5b,1,240.0,167
9522a,1,547.9,450
d8cc9,1,84.5,423
68355,1,55.7,568
5dd00,1,129.89,225
42210,1,439.0,393
84b1b,1,92.96,492
06cf2,1,69.0,446
b38c7,1,61.9,581
1e1b0,1,79.0,253
b5f63,1,199.0,350
47987,1,360.0,165
08ff5,1,56.0,228
1258b,1,99.8,561
af6f8,1,150.0,84
363b0,1,15.0,296
08871,1,138.2,278
d7a8a,1,49.9,74
08f62,1,82.5,78
d9406,1,13.65,156
5e94b,1,79.99,127
253cb,1,229.9,33
30e48,1,13.65,209
e6f1f,1,99.9,230
44e44,1,129.9,357
5562f,1,146.99,298
431f8,1,49.0,278
ba4fd,1,79.89,495
dcd3a,2,278.0,237
12509,1,378.0,83
59e17,1,166.9,385
7a87b,1,199.98,239
cd7e5,1,59.9,427
97863,1,109.9,150
f0dfd,1,49.9,57
9fceb,1,265.9,35
ea147,1,62.9,98
b6bd3,1,49.0,210
60790,1,209.70000000000002,149
f69d1,1,112.0,11
d4318,1,122.99,12
00dc0,1,39.9,391
4a300,1,8.7,76
af27f,1,53.0,156
84b33,1,59.9,368
5c1ef,1,31.5,525
29a8f,1,129.9,436
6be83,1,32.9,500
33a49,1,69.8,523
4b7e2,1,89.18,521
e8e10,1,390.0,77
24545,1,17.99,368
daa4f,1,89.9,218
e36dc,2,172.89,163
ff8f7,1,18.9,113
eede9,1,94.9,80
eae4c,1,44.9,187
c97f2,1,99.99,393
3ee06,1,1914.58,148
d4926,1,88.0,507
bcef5,1,59.9,352
d18dc,1,99.99,534
b13b7,1,31.9,194
4a49b,1,35.0,298
aeba4,1,117.0,337
4bc36,1,25.8,59
81592,1,24.99,278
b8835,1,127.0,26
fc9fa,1,119.8,190
166b8,1,91.8,126
32e18,1,80.0,287
c00ac,1,65.9,38
69c10,1,21.9,135
84ec3,1,249.99,199
786b3,1,117.3,332
28d49,1,15.99,161
db78c,1,190.56,18
aeb28,1,104.0,412
ec3ff,1,158.0,341
eecae,1,157.9,213
fa6ee,1,159.9,529
679e6,1,59.9,376
004cd,1,65.0,7
29034,1,49.9,91
68a06,1,194.99,285
808ba,1,29.9,238
5daa7,1,49.9,94
96b20,1,71.82,400
cd882,1,129.0,111
83c28,1,108.0,405
c23b3,1,93.99,37
f8796,1,200.0,355
60a33,1,34.9,419
542cf,1,14.99,161
3aac9,1,158.7,340
fb865,1,73.0,183
c8791,1,173.9,108
2ad1b,1,109.99,451
a018c,1,99.0,236
29dba,1,75.9,384
fb11d,1,92.96,513
3b5d7,1,110.0,376
4a1af,1,199.9,458
601d4,1,9.9,443
0bdb8,1,2338.08,20
d9446,1,149.9,107
d7284,1,97.07,214
f3221,1,19.36,187
a4619,1,157.0,87
8b904,1,58.99,331
5f1de,1,29.9,96
0e102,1,54.5,36
3e3cd,1,698.9,291
1b641,1,169.99,463
27a3e,1,31.9,409
03d74,1,72.62,461
e223d,1,115.0,182
25b59,1,54.99,324
3c2d0,1,51.9,278
680f4,1,144.99,203
d9f0c,1,14.99,321
6d0d3,1,84.99,270
07cc7,1,19.99,222
a1aac,1,54.9,233
1da0c,1,150.0,114
bc5ae,1,45.9,265
84ace,1,289.0,225
f8c35,1,139.9,43
58521,1,19.99,376
01403,1,114.4,306
6c8e3,1,29.89,50
f59f8,1,278.9,482
fb108,1,49.9,231
a2355,1,37.9,290
a03fc,1,388.0,229
bbec5,1,65.0,361
2afed,1,66.9,106
53b88,1,29.0,217
c02e9,1,8.99,425
41b5f,1,134.99,401
aafd2,1,79.9,265
32e2f,2,63.980000000000004,230
5db73,1,53.0,270
d29fe,1,449.0,464
60a1d,1,47.49,375
c5dce,1,200.0,47
e0832,1,89.9,73
3a26f,1,2110.0,66
e3dd3,1,799.99,318
afb23,3,532.87,107
6ffdb,2,45.98,144
e692a,1,79.99,132
ac3c5,1,195.8,531
642ca,1,54.9,180
6e30e,1,29.99,147
4372b,1,114.9,215
06a40,1,168.88,367
9f97c,1,99.8,389
70b14,1,169.9,115
314e7,1,59.0,155
955a9,1,29.9,225
f7d02,1,119.9,86
915c7,1,83.0,208
30984,1,149.9,112
be0f8,1,19.9,204
be5e8,1,261.0,380
1a3dc,1,99.8,488
92b9d,1,95.0,118
93f8e,1,112.0,205
8d8be,1,19.89,183
357db,1,250.0,314
8ce9b,1,219.9,417
50de7,1,71.9,101
c1954,1,149.9,394
9fa79,2,162.0,193
dbb92,1,67.0,277
ca1d5,1,43.99,467
1fb7c,1,59.9,397
241f8,1,69.9,93
853dc,1,226.62,135
0bc07,1,907.8199999999999,155
f854f,1,29.89,74
21ca0,1,27.99,296
d6f47,1,63.99,21
c3697,1,29.99,20
885ba,1,54.99,289
8ada8,1,99.0,37
b935b,1,42.0,69
e4007,1,35.0,131
d87a7,1,24.9,93
4477d,1,38.0,261
a0a36,1,105.9,280
dcd0e,1,24.99,274
e5959,1,184.99,584
aef8a,1,59.7,349
c0510,1,52.9,163
905b7,1,39.9,323
d24d7,1,67.0,118
d292e,1,670.0,226
ad5d7,1,179.8,180
954d6,1,14.9,369
bae5e,1,150.0,19
853fc,1,276.0,22
